Region/Year,BOB,BOB,BOB,AS,AS,AS,NIO,NIO,NIO
Year,BOB_VF,BOB_ACE,BOB_PDI,AS_VF,AS_ACE,AS_PDI,NIO_VF,NIO_ACE,NIO_PDI
,knots,10^4 knots^2,10^4 knots^3,knots,10^4 knots^2,10^4 knots^3,knots,10^4 knots^2,10^4 knots^3
1982.0,328.83,17533.0,1990.39,217.23,8609.0,963.92,380.97,26143.0,2740.62
1983.0,276.22,14337.0,1784.0,172.59,4342.0,610.74,335.0,18679.0,2167.28
1984.0,341.19,19993.0,2113.06,183.58,9231.0,1183.76,434.23,29224.0,3081.0
1985.0,371.26,25591.0,2795.8,144.63,5056.0,713.81,450.41,30647.0,3255.06
1986.0,342.27,18561.0,2073.23,179.47,5664.0,760.22,411.21,24225.0,2702.79
1987.0,258.78,13537.0,1598.06,164.17,5281.0,665.79,336.27,18818.0,2178.39
1988.0,320.37,22233.0,2601.11,167.89,6709.0,909.29,450.95,28942.0,3161.19
1989.0,282.77,18237.0,2149.36,216.5,9624.0,1320.73,420.32,27861.0,2991.82
1990.0,420.13,27302.0,3146.61,120.29,5134.0,657.99,468.59,32436.0,3371.26
1991.0,359.61,16977.0,1954.28,156.67,5766.0,820.54,388.82,22743.0,2519.18
1992.0,393.69,24549.0,2600.85,157.95,5888.0,787.51,389.45,30437.0,3071.16
1993.0,308.92,17165.0,1965.77,213.51,8587.0,1100.05,388.58,25752.0,2684.66
1994.0,281.5,13751.0,1666.42,130.89,4649.0,620.51,313.67,18400.0,2025.26
1995.0,198.22,6546.0,883.85,97.68,2204.0,341.46,198.0,8750.0,1087.64
1996.0,269.2,12902.0,1475.13,113.41,2502.0,412.0,286.53,15405.0,1835.07
1997.0,256.5,13236.0,1601.16,135.12,4081.0,603.37,351.88,17317.0,1948.58
1998.0,435.51,25040.0,2771.69,217.17,8585.0,1198.69,435.58,33625.0,3480.79
1999.0,222.92,9109.0,1306.2,128.34,3841.0,589.65,284.45,12950.0,1625.57
2000.0,300.45,12661.0,1678.93,149.41,5014.0,713.81,275.34,17676.0,2016.38
2001.0,253.3,11727.0,1376.69,113.23,3823.0,603.03,286.74,15550.0,1868.29
2002.0,266.03,16307.0,1875.85,170.71,5796.0,807.3,368.57,22102.0,2395.56
2003.0,286.97,19018.0,2010.25,223.4,10047.0,1313.15,448.91,29064.0,3091.31
2004.0,746.56,56768.0,5332.6,345.51,12864.0,1532.68,765.53,69632.0,6350.4
2005.0,783.72,60919.0,5926.67,320.15,12545.0,1528.0,795.45,73465.0,6771.68
2006.0,708.94,69246.0,6898.11,488.46,32879.0,3333.79,886.0,102125.0,9279.93
2007.0,1007.14,128734.0,10618.95,463.18,40473.0,4325.49,1188.3,169207.0,13183.07
2008.0,234.71,8480.0,1056.04,111.03,4145.0,559.06,277.85,12625.0,1551.1
2009.0,187.01,8864.0,1011.91,114.19,2436.0,392.89,239.55,11300.0,1403.37
2010.0,231.09,12126.0,1467.56,155.84,5044.0,695.27,280.77,17170.0,1953.07
2011.0,326.07,16595.0,1829.18,152.67,4630.0,690.86,322.91,21225.0,2277.87
2012.0,439.05,32329.0,3314.89,149.43,8316.0,1114.04,485.81,40645.0,4145.36
2013.0,335.95,19368.0,2106.33,164.33,4730.0,725.14,398.45,24098.0,2610.36
2014.0,312.9,17668.0,2027.86,221.23,8642.0,1149.9,408.54,26310.0,2878.02
2015.0,383.11,22791.0,2307.38,117.66,4563.0,593.94,436.32,27354.0,2956.08
2016.0,503.66,30515.0,3004.14,249.57,13326.0,1597.72,529.99,43841.0,4623.27
2017.0,497.98,36736.0,4199.83,346.92,19138.0,2052.81,642.75,55873.0,5382.25
2018.0,509.68,34934.0,3402.82,240.91,10973.0,1323.9,592.36,45908.0,4446.61
2019.0,354.9,31083.0,3112.55,239.2,11838.0,1559.19,528.4,42921.0,4355.8
2020.0,512.3,39416.0,4399.97,207.4,8890.0,1172.68,602.88,48306.0,4822.01
2021.0,569.5,54015.0,6032.69,249.1,12535.0,1468.65,667.58,66550.0,6546.41
2022.0,565.08,57174.0,5204.4,380.82,22966.0,2417.12,765.16,80139.0,7550.67
2023.0,628.56,64077.0,5978.52,310.21,12152.0,1484.72,741.39,76229.0,7135.05
